ticker,percentage_or_shares
IPXHY,1.7
SHEL,1.41
SAN,13.8
ATEYY,0.4
ASML,0.1
SMTOY,1.33
FISZX,38.266
FDRXX,10116.23
FSUVX,1324.646
FBLTX,780.087
FSPWX,2247.91
FSRJX,1587.976
FIFGX,35.92
FSKLX,1302.572
FUSIX,3915.188
FIWGX,27915.604
FCTDX,16630.633
FGOMX,10454.514
FDRXX,4952.93
FSCRX,1164.198
FSUVX,962.833
FBLTX,133.698
FSRJX,506.921
FIWGX,1332.883
FIFGX,12.561
FUSIX,666.844
FSKLX,1494.292
FGOMX,4221.506
FCTDX,9323.834
FDRXX,8783.46
SPRXX,2689.65
SPEM,105.943
SPDW,116.053
FXAIX,178.657
SPAXX,304.64
HYGH,361.601
IGIB,583.512
JPRE,918.58
REZ,665.819
SPY,73.42
SPAXX,2961.48
SHM,244
MUB,29
AVSC,38
AVEM,29
IQLT,48
IMTM,47
IVLU,129
VLUE,48
QUAL,37
MTUM,33
BRKB,15
MSFT,19
SPAXX,1327.06
CFRUY,24.05
VMC,2
HEIA,3
ALIZY,17
CDNS,1.78
IR,6.67
BLK,1
RNMBY,1
BNPQY,10.18
MTB,3
DIS,9.41
ORCL,5.47
DHLGY,10.59
URI,0.85
TT,1.47
MAR,1.72
LYG,106.28
SMFG,27.63
USB,13.11
TSLA,1.35
PNC,4
CEG,1.67
ETN,1.94
SIEGY,9.28
HLT,3
DE,1.64
MFG,79
TRV,5
NTR,7.93
NTRS,6
HSBC,10.76
CSCO,14
HTHIY,30.94
ANET,5
UNCRY,28
BA,5.32
WFC,30.7
GOOG,2.55
MSFT,14.11
BAC,35.33
SAN,93.4
RYCEY,61.57
UCBJY,8.2
SHEL,21.47
IMO,9.7
META,5.67
AMZN,19.26
JPM,9.83
APH,9.53
KLAC,0.91
AAPL,14.14
SCHH,473.92
ASML,1.26
VWO,82
TSM,5.78
GEV,2.34
GE,10.43
FZAEX,107.881
VB,27
SCHE,235
IQLT,218
AVGO,10.55
SPDW,371.931
SPEM,841.031
IMTM,218.44
MU,7.21
SCHA,386
GOOGL,20.48
IVLU,312
AVEM,177
SPSM,843.539
NVDA,56.59
SCHX,1020
VLUE,130.28
SPMD,1522.915
DFAC,1200
SCHF,2069.98
VOO,126
SPY,673.924
SPAXX,351.24
AGG,14
BNDX,16
VGSH,9
SCHA,32
FPADX,48.613
SCHM,51
FSPSX,59.351
FXAIX,29.367
FDRXX,295.06
FSCRX,69.245
FSUVX,57.357
FBLTX,97.101
FIWGX,13.183
FIFGX,0.753
FUSIX,39.716
FSRJX,30.557
FSKLX,89.056
FGOMX,251.17
FCTDX,555.336
FDRXX,2411.34
FSCRX,565.231
FSUVX,467.895
FSRJX,246.583
FIWGX,694.698
FIFGX,6.421
FUSIX,324.072
FSKLX,726.366
FGOMX,2050.887
FCTDX,4531.353
FDRXX,43167.50
FSMNX,1030.617
SLVM,5
FISMX,352.386
MBC,104
ALLY,23
IJR,158.51
IJH,609.42
OMF,83.21
QUAL,186.68
FSAJX,15453.258
TPH,232
SPLV,967.03
PLXS,125
APH,194
EMGF,1526
IMTM,5107
IQLT,6006.94
SMLF,2560
IVLU,8411
FDRXX,4156.61
CRM,30.97
MA,15.873
BLK,2.75
ARES,11.2
AMD,7.12
ISRG,6.83
DIS,28.99
XYZ,36.7
DHR,14.16
NEM,9.65
UBER,21.42
ARE,29.2
BAC,95.09
DXCM,17.36
GS,1.86
V,31.406
ADBE,11.08
CMG,30.45
BAX,64.95
HD,4.44
CDNS,8.13
DKNG,52.62
INTC,39.23
SYK,5.84
C,13.6
HUBS,8.91
ABNB,9.68
APP,1.85
COIN,8.02
ABT,6.18
T,44.78
AXP,7.66
HOOD,5.9
RCL,2
TEAM,25.42
BA,16.9
AMT,7.18
PLD,13.69
MSTR,11.37
VZ,25.02
SYF,1
FLUT,11.82
MCD,4.07
AMTM,3
FANG,7.21
ZS,11.5
ANET,9.4
DDOG,2.46
NOW,50.51
TSN,4
SNOW,5.19
PG,11.47
RBLX,12.23
INTU,7.3
VST,4.59
PFE,84.2
NEE,17.13
TMO,8.66
KO,7.55
CME,2.09
CRWD,1.5
MAS,10
WY,16
SBUX,22.87
SCHW,14.23
MSFT,139.343
CMCSA,86.48
REGN,1
CF,2
BBY,22
EQIX,1.56
PEP,15.28
TMUS,8.22
COST,4.02
SO,17.53
GE,7.48
HPQ,67
CTSH,77.809
UNH,12.88
GILD,10.89
DD,20.94
WPC,25.36
INSM,12.26
GEV,3
AMGN,5.55
WELL,10.5
GD,2.94
MCK,2.25
MRK,35.69
GLPI,30
PGR,7
NET,7
EXPD,23.06
EXAS,18
LOW,23.157
NFLX,80.42
CEG,6.248
LEN,39.15
TT,3.974
ALNY,9
CDW,47.656
ACN,41.89
QCOM,38.99
FNF,130
ORCL,28.048
KMI,86
MS,16
LENB,49
ETN,7.739
LLY,16.71
J,50.59
AMZN,178.967
CBOE,11
RSG,16.585
AIG,60.64
IBM,20.491
PLTR,41.62
JPM,47.051
BRKB,20.273
DUK,51.237
JCI,30.18
NUE,25
HUBB,9.722
NOC,7.875
WBD,204.3
LMT,11.197
EXC,143
TXN,43.22
ALL,33
KR,104
LDOS,55.12
COP,54.566
JNJ,51.586
ACGL,97
ADM,143
EBAY,111
ADI,27.295
LH,38
BK,74.17
STX,19.15
TSLA,56.827
MSI,22.04
NRG,62.967
AFL,158.84
DGX,72.03
HIG,94.39
DHI,80.481
PH,15
SNA,40
PM,92.907
PCAR,158.79
CBRE,124.53
ABBV,74.426
GOOG,84.58
PHM,117.18
LRCX,62.954
AMAT,40.812
MU,33.119
RS,70.09
GOOGL,113.933
XOM,126.918
WMT,199.814
APH,158.608
AAPL,295.451
META,62.375
AVGO,122.212
NVDA,485.854
FDRXX,8555.01
MSFT,115.427
AMZN,283.033
WFC,202.63
MRSH,61.85
AMD,23.83
V,51.054
MCO,11.78
MA,12.881
CDNS,23.83
ORCL,10.67
VMC,13.71
CI,24.22
WCN,39.96
ROL,62.97
GEN,132.3
RRX,7.97
DEO,22.11
LPLA,11.71
BSX,9.24
IBKR,28.85
PRNDY,78.85
TDG,2.84
GDDY,18.46
PODD,5.67
ADBE,10.46
SAP,13.69
AZO,0.78
TMO,13.39
RDDT,6.01
APP,4.78
GPN,24.32
LULU,8.89
DIS,15.32
AXP,6.31
STZ,14.38
HEIA,3.81
UAL,7.31
VST,17.58
HRB,45.68
COF,6.86
AFRM,29.77
BAX,76.75
TGOPY,60.6
MDLZ,96.68
CRWD,3.76
NSC,1.2
ADSK,8.73
CLLNY,47.19
UL,21.619
SHOP,13.28
CTAS,12.91
DAL,16.96
PLTR,10.2
INTU,4.23
AMT,7.31
ORLY,10.08
MOS,50.04
CRH,24.37
BTI,22.85
SNOW,8.3
WBD,28.57
WTW,14.12
TFC,131.36
IOT,48.4
BJ,19.72
LDOS,11.46
NOW,43.64
SFM,18.93
PG,43.28
WELL,7.66
KVUE,116.7
MUSA,2.22
PNC,5.42
MLM,9.55
CMCSA,96.83
SPOT,2.217
HCA,3.27
ULTA,2
PEP,12.99
CCK,20.85
CLS,3.36
MTB,7.34
KR,28.45
KNX,31.12
CAH,2.9
ALNY,2
SNPS,11.78
WERN,73.12
CVNA,3.18
MPWR,1.47
PCG,121.64
ANET,36.25
KO,22.29
DHLGY,23.04
COR,5.83
HLN,243
UNH,11.78
SIEGY,11.979
CPAY,10.41
BMY,27
KDP,344.18
SBUX,30.7
CL,50.91
USB,110.9
HLT,21.04
QCOM,12.43
COST,7.69
CTSH,116.371
VIK,16
ARGX,2
UPS,76.65
WPM,15.33
TGT,24.41
CSCO,69.43
LHX,8.27
BAC,339.01
CHRW,18.47
CME,18.07
UCBJY,20.27
TSN,57
IBM,7.219
FQVLF,73.66
FTAI,8.86
ROST,16.6
NGG,45.25
CTVA,64.52
JPM,25.409
GD,5
CVS,80.92
MAR,25.49
FBIN,90.56
CDW,38.344
NFLX,172.04
DOW,75.25
AS,61.38
EXAS,23.83
JNJ,13.794
CNQ,83.29
RBLX,51.53
LLY,7.64
WAB,32.53
ACN,32
BA,59.873
LOW,31.453
TSLA,11.783
GILD,29.68
ELAN,161.59
TOST,134.56
PWR,7.35
MCK,7
FDX,16.33
TRV,34.2
AZN,40.952
DUK,35.763
MRK,84.39
RSG,17.935
NEM,50.48
JEF,197
PNR,45
IMO,51.08
HUBB,9.278
MS,26
GSK,172.554
TSM,35.56
LMT,11.593
SHEL,194.545
NOC,9.065
ADI,17.475
HII,15
JCI,42.82
TT,12.656
ETN,15.261
CF,47
GOOG,48.81
ABBV,38.184
PM,59.093
COP,73.934
GEV,14.09
BK,73.83
DHI,63.789
GE,73.31
MSI,24.96
HIG,85.61
WMT,103.186
TOL,79.17
AAPL,119.419
NRG,79.813
PHM,122.11
LRCX,67.476
AMAT,44.098
MU,41.991
GOOGL,170.197
XOM,241.282
META,61.365
NVDA,571.586
AVGO,106.428
APH,292.182
FDRXX,4046.17
DEO,11.22
PRNDY,41.74
GVDNY,10.23
FUJIY,82.73
RNECY,84.76
BURBY,20.47
HMC,18.14
NVZMY,9.22
WTKWY,8.04
SAP,12
HESAY,4.39
RELX,27.2
TGOPY,166.34
DSCSY,7.78
CODYY,67.95
DKILY,40.97
LVMUY,9.32
TELFY,89.5
SPOT,0.67
NXPI,2.78
UL,16.341
PUK,27.25
LSEGY,11.65
CMPGY,54.25
HXGBY,69
SKHHY,74.64
MGDDY,28.8
TKOMY,13.82
NTDOY,31.34
ATLKY,24.46
SVNDY,45.44
MQBKY,6.62
ESLOY,13.11
CHGCY,33.02
SSUMY,14.86
GMAB,20.66
ORANY,23.53
VLVLY,11.97
KDDIY,48.55
HLN,59
TOELY,5.92
UPMMY,29.56
SZKMY,13.18
ISUZY,46.92
HKXCY,8.62
MBGYY,71.53
BXBLY,25.82
CTTAY,54.28
PRYMY,11.53
VWDRY,76.12
VWAGY,95.9
DLAKY,65.49
