ticker,percentage_or_shares
WTW,14.12
HCA,3.27
HRB,45.68
KDP,344.18
INTU,4.23
UAL,7.31
PLTR,10.2
COF,6.86
NSC,1.2
ANET,36.25
LPLA,11.71
WFC,202.63
LDOS,11.46
STZ,14.38
CI,24.22
GPN,24.32
PG,43.28
ADSK,8.73
AXP,6.31
SHOP,13.28
AMZN,283.033
UL,21.619
V,51.054
BAX,76.75
AMT,7.31
SNOW,8.3
VST,17.58
MA,12.881
NOW,43.64
CLLNY,47.19
AFRM,29.77
MRSH,61.85
CDNS,23.83
VMC,13.71
DIS,15.32
ADBE,10.46
GDDY,18.46
AZO,0.78
LULU,8.89
IBKR,28.85
MCO,11.78
WCN,39.96
AMD,23.83
TDG,2.84
CRWD,3.76
MOS,50.04
PODD,5.67
HEIA,3.81
ROL,62.97
CTAS,12.91
RDDT,6.01
MSFT,115.427
RRX,7.97
SAP,13.69
GEN,132.3
DEO,22.11
APP,4.78
BSX,9.24
ORCL,10.67
TGOPY,60.6
PRNDY,78.85
FDRXX,4124.43
SCGLY,81.06
CRZBY,20.8
SMTOY,32.74
RYCEY,213
IPXHY,85.58
PCRHY,60.64
SMERY,7.79
SCBFY,40
GLNCY,203.79
BAYRY,83.09
CAIXY,399.55
EBKDY,20.34
BBVA,74.95
MIELY,17.92
NOK,113.73
HDLMY,29.15
YARIY,33.96
BKRIY,68.46
TSM,7.89
MITSY,2.96
MFG,382
MITEY,50.99
ASML,4.1
E,28.29
WHGLY,33.89
UCBJY,20
MARUY,3.72
FNV,3.98
IMO,11.49
SUHJY,75.78
BCS,98.79
UNCRY,141.83
TEVA,50.72
LYG,494.9
SFTBY,53.28
ARGX,2
HSBC,54.04
SAN,363.15
KBCSY,19.15
DBSDY,6.76
ERIC,51.36
RNMBY,3.64
BHKLY,7.12
TTE,20.34
BTI,32.95
GSK,61.516
LGRDY,50.31
ATEYY,14.36
BAESY,18.24
NVS,9.98
BNPQY,48.28
ADRNY,17
DTEGY,85
OPHLY,166.65
ENLAY,133.69
CTTAY,54.28
SMFG,117.7
SAFRY,34.29
FSNUY,79.75
KWHIY,11.93
NWG,69.87
AER,6.56
MHVIY,22.88
VWDRY,76.12
KMTUY,35.27
DHLGY,26.12
ALIZY,94.6
FRCOY,36.91
RIO,23.22
HOCPY,10.06
DBOEY,34.49
DLAKY,65.49
CJPRY,71.74
VCISY,19.63
BHP,17.89
TKOMY,13.82
HTHIY,157.66
AZN,20.688
NGG,16.95
AAGIY,49.18
HKXCY,8.62
SHEL,48.555
ITOCY,97.8
FISZX,1402.901
